GO:0044707	GO:0001503
GO:0001505	GO:0001504
GO:0006836	GO:0001504
GO:0098657	GO:0001504
GO:0065008	GO:0001505
GO:0042391	GO:0001508
GO:0016070	GO:0001510
GO:0043412	GO:0001510
GO:0043414	GO:0001510
GO:0044767	GO:0001525
GO:0048514	GO:0001525
GO:0048646	GO:0001525
GO:0048870	GO:0001539
GO:0008585	GO:0001541
GO:0022602	GO:0001541
GO:0044767	GO:0001541
GO:0048608	GO:0001541
GO:0008585	GO:0001542
GO:0022602	GO:0001542
GO:0030728	GO:0001542
GO:0001542	GO:0001543
GO:0022602	GO:0001543
GO:0001541	GO:0001544
GO:0022602	GO:0001544
GO:0001541	GO:0001545
GO:0022602	GO:0001545
GO:0040007	GO:0001545
GO:0001541	GO:0001546
GO:0022602	GO:0001546
GO:0040007	GO:0001546
GO:0048162	GO:0001546
GO:0001541	GO:0001547
GO:0003006	GO:0001547
GO:0022602	GO:0001547
GO:0048589	GO:0001547
GO:0001547	GO:0001550
GO:0022602	GO:0001550
GO:0040007	GO:0001550
GO:0048165	GO:0001550
GO:0003006	GO:0001552
GO:0008585	GO:0001552
GO:0008585	GO:0001553
GO:0022602	GO:0001553
GO:0008585	GO:0001554
GO:0022602	GO:0001554
GO:0003006	GO:0001555
GO:0022412	GO:0001555
GO:0048588	GO:0001555
GO:0048599	GO:0001555
GO:0003006	GO:0001556
GO:0022412	GO:0001556
GO:0048469	GO:0001556
GO:0048599	GO:0001556
GO:0040008	GO:0001558
GO:0051128	GO:0001558
GO:0001558	GO:0001560
GO:0031668	GO:0001560
GO:0051707	GO:0001562
GO:0001944	GO:0001568
GO:0044767	GO:0001568
GO:0048856	GO:0001568
GO:0001525	GO:0001569
GO:0048514	GO:0001569
GO:0048754	GO:0001569
GO:0030154	GO:0001570
GO:0048514	GO:0001570
GO:0000226	GO:0001578
GO:0001503	GO:0001649
GO:0030154	GO:0001649
GO:0007423	GO:0001654
GO:0048731	GO:0001655
GO:0001822	GO:0001656
GO:0048871	GO:0001659
GO:0007612	GO:0001661
GO:0007631	GO:0001661
GO:0002209	GO:0001662
GO:0042596	GO:0001662
GO:0044708	GO:0001662
GO:0006950	GO:0001666
GO:0036293	GO:0001666
GO:0016477	GO:0001667
GO:0003006	GO:0001675
