file	count	time(ms)	recursive_calls
g1000.txt	13329189022
(Sanity check)0	8154	16904
g100.txt	10227865558
(Sanity check)0	8912	21645
g101.txt	11112416111
(Sanity check)0	3497	5296
g102.txt	30435646247151837
(Sanity check)0	1921	3626
g103.txt	2411641404
(Sanity check)0	1204	2325
g104.txt	152339778
(Sanity check)0	1845	2817
g105.txt	333667361268648
(Sanity check)0	41755	91915
g106.txt	4220375
(Sanity check)0	1041	957
g107.txt	6408062311257208
(Sanity check)0	9259	17203
g108.txt	237605058268138371
(Sanity check)0	1361	2402
g109.txt	274643134084892613
(Sanity check)0	1919	4108
g10.txt	5369263270
(Sanity check)0	9130	19682
g110.txt	23459381475
(Sanity check)0	8216	17166
g111.txt	1120525201653
(Sanity check)0	5451	12869
g112.txt	10002110106241
(Sanity check)0	12495	26845
g113.txt	820572328
(Sanity check)0	4300	6567
g114.txt	442875209805
(Sanity check)0	4208	8462
g115.txt	16701682458095
(Sanity check)0	10970	23807
g116.txt	7030209
(Sanity check)0	1861	2130
g117.txt	4966029
(Sanity check)0	1679	1851
g118.txt	261283965233259
(Sanity check)0	22251	45365
g119.txt	7744554995
(Sanity check)0	1836	3452
g11.txt	164200960447
(Sanity check)0	4027	9427
g120.txt	4173838327
(Sanity check)0	7179	12451
g121.txt	7500542835188797
(Sanity check)0	1980	4332
g122.txt	32478238058
(Sanity check)0	6827	12430
g123.txt	34465166
(Sanity check)0	1503	2113
g124.txt	8484762079
(Sanity check)0	7221	14137
g125.txt	25260182435497
(Sanity check)0	8329	16926
g126.txt	17856558149248583
(Sanity check)0	701	1238
g127.txt	9838581824068
(Sanity check)0	20023	34328
g128.txt	5447233194567
(Sanity check)0	9421	21392
g129.txt	10350433945464421
(Sanity check)0	2473	5027
g12.txt	82127440852
(Sanity check)0	7119	12799
g130.txt	240526810996783
(Sanity check)0	4528	9901
g131.txt	82585420992262
(Sanity check)0	4397	9652
g132.txt	61319829715
(Sanity check)0	2168	4766
g133.txt	10647047841145582
(Sanity check)0	3660	6723
g134.txt	3437301134989232407
(Sanity check)0	14	26
g135.txt	1022548861296
(Sanity check)0	9360	22723
g136.txt	34720468471
(Sanity check)0	2372	4668
g137.txt	425524902622979
(Sanity check)0	3635	7125
g138.txt	364526657983196413
(Sanity check)0	1442	2971
g139.txt	2774123358984
(Sanity check)0	23862	44959
g13.txt	590768752144
(Sanity check)0	15383	34630
g140.txt	2280132844671
(Sanity check)0	8321	17402
g141.txt	1925624610578
(Sanity check)0	3202	6196
g142.txt	3278872721229
(Sanity check)0	7435	16531
g143.txt	30897088936
(Sanity check)0	9019	19678
g144.txt	2415728793995377
(Sanity check)0	7698	16095
g145.txt	93736343
(Sanity check)0	2635	5284
g146.txt	19134371374
(Sanity check)0	4607	9124
g147.txt	4400754216766102
(Sanity check)0	4123	7801
g148.txt	22688380242551249
(Sanity check)0	4349	7976
g149.txt	10299306329526
(Sanity check)0	6204	12109
g14.txt	142526174892141799
(Sanity check)0	1108	2331
g150.txt	3091882227677
(Sanity check)0	7232	14934
g151.txt	14743008317
(Sanity check)0	9586	22138
g152.txt	162991341993946
(Sanity check)0	4788	9636
g153.txt	4646749997991
(Sanity check)0	4731	10586
g154.txt	38350502807044
(Sanity check)0	7956	14830
g155.txt	73204319073889
(Sanity check)0	15032	28665
g156.txt	7042910130
(Sanity check)0	9423	19565
g157.txt	23089300086
(Sanity check)0	7239	13274
g158.txt	301814767
(Sanity check)0	3247	4849
g159.txt	1798256700969
(Sanity check)0	16992	33682
g15.txt	25977100546
(Sanity check)0	3000	6425
g160.txt	16301912232842589
(Sanity check)0	1569	3155
g161.txt	1850136317708
(Sanity check)0	5768	9542
g162.txt	115521228036
(Sanity check)0	5257	9828
g163.txt	113090294359626
(Sanity check)0	11348	23288
g164.txt	276242772
(Sanity check)0	1506	2722
g165.txt	59175008002191556
(Sanity check)0	2913	5557
g166.txt	23211131126712
(Sanity check)0	22256	48297
g167.txt	4619946447652246
(Sanity check)0	7834	15050
g168.txt	22092862260200
(Sanity check)0	7225	12356
g169.txt	127268501536
(Sanity check)0	3061	5596
g16.txt	291287467065
(Sanity check)0	7015	17070
g170.txt	1007287167353765
(Sanity check)0	6359	12992
g171.txt	8166690504639
(Sanity check)0	9161	17534
g172.txt	282295826111
(Sanity check)0	5062	10940
g173.txt	91745793079
(Sanity check)0	8223	16169
g174.txt	180632730413
(Sanity check)0	13831	29515
g175.txt	21174463839755
(Sanity check)0	6528	12068
g176.txt	19093842845175392
(Sanity check)0	1239	2506
g177.txt	388801328680473
(Sanity check)0	6247	11495
g178.txt	391140671421
(Sanity check)0	4668	10447
g179.txt	1098563636647203
(Sanity check)0	10230	20903
g17.txt	2123653657410689
(Sanity check)0	2831	5858
g180.txt	145012123381
(Sanity check)0	7315	15400
g181.txt	11412294094051
(Sanity check)0	4275	7444
g182.txt	29731355765097148108
(Sanity check)0	27	48
g183.txt	16727388985800
(Sanity check)0	11304	22611
g184.txt	71429536121260
(Sanity check)0	1635	3267
g185.txt	1230469938061805
(Sanity check)0	9604	20573
g186.txt	652583883753519106
(Sanity check)0	792	1494
g187.txt	300058036332774561
(Sanity check)0	2107	4196
g188.txt	292882554703835
(Sanity check)0	16174	35269
g189.txt	913230444
(Sanity check)0	8309	18003
g18.txt	198182116705829
(Sanity check)0	16145	30962
g190.txt	193132115752344481
(Sanity check)0	73	133
g191.txt	11072875016737
(Sanity check)0	8211	16774
g192.txt	6740529822750
(Sanity check)0	13926	27851
g193.txt	121304372
(Sanity check)0	2289	3955
g194.txt	15969402762865
(Sanity check)0	4992	9356
g195.txt	54341522606125
(Sanity check)0	14707	26087
g196.txt	240131657176
(Sanity check)0	1970	3599
g197.txt	88726724055035
(Sanity check)0	3370	6847
g198.txt	31101572295177841
(Sanity check)0	1054	1971
g199.txt	886765927697
(Sanity check)0	3209	5843
g19.txt	812103945428
(Sanity check)0	9073	18137
g1.txt	365388648615288
(Sanity check)0	5064	9625
g200.txt	249255855914115
(Sanity check)0	15217	27704
g201.txt	1248958611748
(Sanity check)0	3738	6710
g202.txt	5622032310
(Sanity check)0	7261	15996
g203.txt	10025442648017
(Sanity check)0	14408	25420
g204.txt	50782024210961
(Sanity check)0	14071	28619
g205.txt	83101800889492
(Sanity check)0	7204	13805
g206.txt	10434679401562761
(Sanity check)0	2366	4860
g207.txt	163551754604
(Sanity check)0	4099	7016
g208.txt	6102712520920
(Sanity check)0	107905	227092
g209.txt	1181432953
(Sanity check)0	1020	1710
g20.txt	179336145
(Sanity check)0	1912	3562
g210.txt	73603823351766
(Sanity check)0	19856	36846
g211.txt	1682975898
(Sanity check)0	1919	3869
g212.txt	1387934698773
