child	parent
GO:0006897	GO:0016192
GO:0006898	GO:0006897
GO:0006900	GO:0016192
GO:0006901	GO:0006900
GO:0006903	GO:0016192
GO:0006904	GO:0006887
GO:0006904	GO:0048278
GO:0006906	GO:0016192
GO:0006907	GO:0006897
GO:0006909	GO:0006897
GO:0006909	GO:0044765
GO:0006910	GO:0006909
GO:0006911	GO:0006909
GO:0006913	GO:0051169
GO:0007034	GO:0006810
GO:0007037	GO:0006817
GO:0007037	GO:0007034
GO:0007038	GO:0007034
GO:0007038	GO:0015031
GO:0007041	GO:0007034
GO:0007086	GO:0006906
GO:0007184	GO:0006606
GO:0007262	GO:0006606
GO:0007269	GO:0006836
GO:0007269	GO:0099643
GO:0007300	GO:0044765
GO:0007301	GO:0007300
GO:0007302	GO:0007300
GO:0007303	GO:0007300
GO:0007303	GO:0016482
GO:0007589	GO:0046903
GO:0007595	GO:0007589
GO:0008088	GO:0010970
GO:0008089	GO:0098930
GO:0008090	GO:0098930
GO:0008228	GO:0006909
GO:0008272	GO:0015698
GO:0008272	GO:0072348
GO:0008302	GO:0007301
GO:0008333	GO:0007041
GO:0008333	GO:0016197
GO:0008333	GO:0046907
GO:0008335	GO:0007300
GO:0008643	GO:0044765
GO:0008643	GO:0071702
GO:0008645	GO:0015749
GO:0008646	GO:0035428
GO:0008647	GO:0035428
GO:0009290	GO:0044765
GO:0009290	GO:0051027
GO:0009290	GO:0098657
GO:0009306	GO:0002790
GO:0009306	GO:0015031
GO:0009306	GO:0032940
GO:0009401	GO:0008643
GO:0009859	GO:0006833
GO:0009914	GO:0044765
GO:0009915	GO:0010233
GO:0009915	GO:0015770
GO:0009926	GO:0060918
GO:0010107	GO:0071805
GO:0010148	GO:0006833
GO:0010163	GO:0071805
GO:0010184	GO:0009914
GO:0010232	GO:0044765
GO:0010233	GO:0010232
GO:0010248	GO:0034220
GO:0010315	GO:0060918
GO:0010351	GO:0015672
GO:0010351	GO:0030001
GO:0010352	GO:0010351
GO:0010496	GO:0006810
GO:0010497	GO:0010496
GO:0010540	GO:0009926
GO:0010541	GO:0009926
GO:0010585	GO:0006868
GO:0010585	GO:0032940
GO:0010585	GO:0046717
GO:0010785	GO:0048201
GO:0010785	GO:0048202
GO:0010786	GO:0048202
GO:0010786	GO:0048203
GO:0010787	GO:0048204
GO:0010787	GO:0048205
GO:0010788	GO:0048205
GO:0010788	GO:0048206
GO:0010797	GO:0016197
GO:0010797	GO:0032509
GO:0010877	GO:0006869
GO:0010879	GO:0010877
GO:0010879	GO:0030301
GO:0010970	GO:0030705
GO:0010970	GO:0099111
GO:0010970	GO:1902582
GO:0014046	GO:0015872
GO:0014046	GO:0050432
GO:0014047	GO:0006835
GO:0014047	GO:0006865
GO:0014047	GO:0032940
GO:0014047	GO:0046717
GO:0014051	GO:0015812
GO:0014051	GO:0046717
GO:0014055	GO:0007269
GO:0014055	GO:0061526
GO:0014808	GO:0051209
GO:0014808	GO:0070296
GO:0014808	GO:1903514
GO:0014860	GO:0007269
GO:0015031	GO:0015833
GO:0015032	GO:0044743
GO:0015628	GO:0009306
GO:0015628	GO:0098776
GO:0015669	GO:0044765
GO:0015670	GO:0015669
GO:0015670	GO:0019755
GO:0015671	GO:0015669
GO:0015672	GO:0006812
GO:0015673	GO:0000041
GO:0015675	GO:0000041
GO:0015676	GO:0000041
GO:0015677	GO:0006825
GO:0015678	GO:0035434
GO:0015679	GO:0035434
GO:0015680	GO:0006825
GO:0015680	GO:0046907
GO:0015682	GO:0006826
GO:0015682	GO:0072512
GO:0015683	GO:0006827
GO:0015683	GO:0015682
GO:0015684	GO:0006826
GO:0015684	GO:0070838
GO:0015685	GO:0015682
GO:0015685	GO:0042930
GO:0015686	GO:0015891
GO:0015686	GO:0071702
GO:0015686	GO:0071705
GO:0015687	GO:0015682
GO:0015687	GO:0015711
GO:0015687	GO:0015891
GO:0015687	GO:0042886
GO:0015688	GO:1901678
GO:0015689	GO:0015698
GO:0015690	GO:0030001
GO:0015690	GO:0072512
GO:0015691	GO:0000041
GO:0015691	GO:0070838
GO:0015692	GO:0030001
GO:0015693	GO:0070838
GO:0015694	GO:0000041
GO:0015694	GO:0072511
GO:0015695	GO:0006812
GO:0015695	GO:0071702
GO:0015696	GO:0006812
GO:0015696	GO:0071705
GO:0015697	GO:0015696
GO:0015697	GO:0044765
GO:0015697	GO:0071702
GO:0015698	GO:0006820
GO:0015699	GO:0015698
GO:0015700	GO:0015698
GO:0015701	GO:0015711
GO:0015702	GO:0015698
GO:0015703	GO:0015698
GO:0015704	GO:0006820
GO:0015704	GO:0019755
GO:0015704	GO:0071705
GO:0015705	GO:0015698
GO:0015706	GO:0015698
GO:0015706	GO:0071705
GO:0015707	GO:0015698
GO:0015707	GO:0071705
GO:0015708	GO:0015698
GO:0015708	GO:0044765
GO:0015709	GO:0015698
GO:0015709	GO:0072348
GO:0015710	GO:0015698
GO:0015711	GO:0006820
GO:0015711	GO:0071702
GO:0015712	GO:0015748
GO:0015712	GO:1901264
GO:0015713	GO:0015748
GO:0015713	GO:0042873
GO:0015713	GO:1901264
GO:0015714	GO:0015718
GO:0015714	GO:0015748
GO:0015715	GO:0006862
GO:0015715	GO:0015711
GO:0015715	GO:0072348
GO:0015716	GO:0044765
GO:0015716	GO:0071702
GO:0015717	GO:0015748
GO:0015717	GO:1901264
GO:0015718	GO:0046942
GO:0015719	GO:0015718
GO:0015719	GO:0042886
GO:0015720	GO:0042886
GO:0015720	GO:0071702
GO:0015721	GO:0006869
GO:0015721	GO:0015718
GO:0015721	GO:0015850
GO:0015722	GO:0032782
GO:0015723	GO:0006835
GO:0015723	GO:0071705
GO:0015724	GO:0015718
GO:0015725	GO:0042873
GO:0015726	GO:0042873
GO:0015727	GO:0015718
GO:0015727	GO:0015850
GO:0015728	GO:0015718
GO:0015728	GO:0015850
GO:0015729	GO:0015740
GO:0015730	GO:0015912
GO:0015731	GO:0015850
GO:0015732	GO:0015908
GO:0015732	GO:0071715
GO:0015733	GO:0015718
GO:0015733	GO:0015850
GO:0015734	GO:0042918
GO:0015734	GO:0071705
GO:0015734	GO:0072348
GO:0015735	GO:0015718
GO:0015735	GO:0015749
GO:0015736	GO:0015735
GO:0015737	GO:0015736
GO:0015738	GO:0015736
GO:0015739	GO:0046942
GO:0015739	GO:1901264
GO:0015740	GO:0006835
GO:0015741	GO:0015740
GO:0015742	GO:0006835
GO:0015743	GO:0015740
GO:0015744	GO:0015740
GO:0015745	GO:0015740
GO:0015745	GO:0042869
GO:0015746	GO:0006842
GO:0015747	GO:0015711
GO:0015747	GO:0071705
GO:0015748	GO:0044765
GO:0015748	GO:0071702
GO:0015749	GO:0008643
GO:0015750	GO:0015749
GO:0015751	GO:0015750
GO:0015752	GO:0015750
GO:0015753	GO:0015750
GO:0015754	GO:0008645
GO:0015755	GO:0008645
GO:0015756	GO:0008645
GO:0015757	GO:0008645
GO:0015758	GO:0008645
GO:0015759	GO:0042946
GO:0015760	GO:0015712
GO:0015761	GO:0008645
GO:0015762	GO:0008645
GO:0015763	GO:1901264
GO:0015764	GO:1901264
GO:0015765	GO:1901656
GO:0015766	GO:0015772
GO:0015767	GO:0015766
GO:0015768	GO:0015766
GO:0015769	GO:0015766
GO:0015770	GO:0015766
GO:0015771	GO:0015766
GO:0015772	GO:0008643
GO:0015773	GO:2001088
GO:0015774	GO:0008643
GO:0015775	GO:0015774
GO:0015776	GO:0015774
GO:0015777	GO:1901264
GO:0015778	GO:0008643
GO:0015779	GO:0046942
GO:0015779	GO:1901656
GO:0015780	GO:0015931
GO:0015780	GO:1901264
GO:0015781	GO:0015780
GO:0015782	GO:0015711
GO:0015782	GO:0015781
GO:0015783	GO:0036079
GO:0015784	GO:0036079
GO:0015785	GO:0015711
GO:0015785	GO:0015781
GO:0015786	GO:0015711
GO:0015786	GO:0015781
GO:0015787	GO:0015781
GO:0015787	GO:0046942
GO:0015788	GO:0015711
GO:0015788	GO:0015781
GO:0015789	GO:0015711
GO:0015789	GO:0015781
GO:0015790	GO:0015711
GO:0015790	GO:0015781
GO:0015791	GO:0015850
GO:0015792	GO:0008643
GO:0015792	GO:0015791
GO:0015793	GO:0008643
GO:0015793	GO:0015791
GO:0015794	GO:0015711
GO:0015794	GO:0015748
GO:0015794	GO:1901264
GO:0015795	GO:0008643
GO:0015795	GO:0015791
GO:0015796	GO:0008643
GO:0015796	GO:0015791
GO:0015797	GO:0008643
GO:0015797	GO:0015791
GO:0015798	GO:0015791
GO:0015799	GO:0015791
GO:0015800	GO:0006865
GO:0015801	GO:0006865
GO:0015802	GO:0006865
GO:0015803	GO:0006865
GO:0015804	GO:0006865
GO:0015805	GO:0051182
GO:0015805	GO:0071702
GO:0015805	GO:0072348
GO:0015806	GO:0072337
GO:0015806	GO:0072348
GO:0015807	GO:0006865
GO:0015808	GO:0015807
GO:0015808	GO:0032328
GO:0015809	GO:0006812
GO:0015809	GO:0015802
