child	parent
GO:0009897	GO:0009986
GO:0009930	GO:0009986
GO:0010339	GO:0009986
GO:0031232	GO:0009897
GO:0031233	GO:0009897
GO:0031236	GO:0031232
GO:0031236	GO:0098567
GO:0031237	GO:0031233
GO:0031237	GO:0098567
GO:0031362	GO:0009897
GO:0031362	GO:0031233
GO:0032154	GO:0097610
GO:0061835	GO:0009986
GO:0070263	GO:0010339
GO:0071575	GO:0009897
GO:0071575	GO:0031233
GO:0090688	GO:0032154
GO:0090689	GO:0032154
GO:0097610	GO:0009986
GO:0097611	GO:0097610
GO:0097612	GO:0097610
GO:0097618	GO:0097612
GO:0097685	GO:0097610
GO:0098567	GO:0009897
GO:0098591	GO:0009897
GO:1990914	GO:0031237
GO:1990914	GO:0071575
GO:1990914	GO:0098567
