child	parent
GO:0000742	GO:0022414
GO:0000743	GO:0000747
GO:0000743	GO:0030473
GO:0000743	GO:0044702
GO:0000746	GO:0044764
GO:0000747	GO:0000746
GO:0000747	GO:0019953
GO:0000748	GO:0000746
GO:0000749	GO:0000747
GO:0000749	GO:0022414
GO:0000749	GO:0071444
GO:0000750	GO:0000749
GO:0000750	GO:0007186
GO:0000750	GO:0032005
GO:0000751	GO:0000749
GO:0000751	GO:0044702
GO:0000751	GO:0071850
GO:0000752	GO:0000747
GO:0000752	GO:0000749
GO:0000752	GO:0000771
GO:0000752	GO:0044703
GO:0000752	GO:0098630
GO:0000753	GO:0000747
GO:0000753	GO:0000749
GO:0000753	GO:0000767
GO:0000753	GO:0003006
GO:0000753	GO:0044702
GO:0000754	GO:0000749
GO:0000754	GO:0022414
GO:0000754	GO:0023058
GO:0000755	GO:0000747
GO:0000755	GO:0022413
GO:0000756	GO:0000748
GO:0000756	GO:0007154
GO:0000756	GO:0071444
GO:0000758	GO:0000748
GO:0000758	GO:0000756
GO:0000758	GO:0000771
GO:0000758	GO:0098630
GO:0000767	GO:0000746
GO:0000767	GO:0000902
GO:0000768	GO:0006949
GO:0000769	GO:0006949
GO:0000770	GO:0009914
GO:0000770	GO:0015833
GO:0000771	GO:0000746
GO:0000771	GO:0007157
GO:0000771	GO:0098610
GO:0000819	GO:0051276
GO:0000819	GO:0098813
GO:0000819	GO:1902589
GO:0000902	GO:0032989
GO:0000903	GO:0008360
GO:0000903	GO:0072690
GO:0000904	GO:0000902
GO:0000904	GO:0048468
GO:0000905	GO:0019954
GO:0000905	GO:0030584
GO:0000909	GO:0019953
GO:0000909	GO:0030584
GO:0000910	GO:0022402
GO:0000910	GO:0051301
GO:0000911	GO:1902410
GO:0000912	GO:0022607
GO:0000912	GO:0032506
GO:0000912	GO:0061640
GO:0000913	GO:0000911
GO:0000913	GO:0022607
GO:0000913	GO:1902408
GO:0000915	GO:0000912
GO:0000915	GO:0044837
GO:0000917	GO:0000278
GO:0000917	GO:0000281
GO:0000917	GO:0061640
GO:0000917	GO:0090529
GO:0000917	GO:1902410
GO:0000919	GO:0000911
GO:0000919	GO:0022607
GO:0000919	GO:1902410
GO:0000920	GO:0009987
GO:0000920	GO:0051301
GO:0000959	GO:0016070
GO:0000963	GO:0000959
GO:0000963	GO:0006396
GO:0000963	GO:0007005
GO:0000963	GO:0044710
GO:0000963	GO:1902589
GO:0000964	GO:0000963
GO:0000964	GO:0000966
GO:0000965	GO:0000963
GO:0000965	GO:0031123
GO:0000966	GO:0006396
GO:0001101	GO:0042221
GO:0001115	GO:0043933
GO:0001172	GO:0097659
GO:0001300	GO:0007569
GO:0001302	GO:0007569
GO:0001306	GO:0006979
GO:0001306	GO:0007571
GO:0001321	GO:0001302
GO:0001321	GO:0007571
GO:0001323	GO:0001300
GO:0001323	GO:0007571
GO:0001325	GO:0006259
GO:0001325	GO:0022607
GO:0001402	GO:0007165
GO:0001402	GO:0030447
GO:0001410	GO:0043936
GO:0001410	GO:0048468
GO:0001501	GO:0048731
GO:0001502	GO:0048705
GO:0001502	GO:0051216
GO:0001502	GO:0098743
GO:0001503	GO:0044707
GO:0001504	GO:0001505
GO:0001504	GO:0006836
GO:0001504	GO:0098657
GO:0001505	GO:0065008
GO:0001508	GO:0042391
GO:0001510	GO:0009451
GO:0001510	GO:0043414
GO:0001523	GO:0016101
GO:0001525	GO:0044767
GO:0001525	GO:0048514
GO:0001525	GO:0048646
GO:0001539	GO:0048870
GO:0001541	GO:0008585
GO:0001541	GO:0022602
GO:0001541	GO:0044767
GO:0001541	GO:0048608
GO:0001542	GO:0008585
GO:0001542	GO:0022602
GO:0001542	GO:0030728
GO:0001543	GO:0001542
GO:0001543	GO:0022602
GO:0001544	GO:0001541
GO:0001544	GO:0022602
GO:0001545	GO:0001541
GO:0001545	GO:0022602
GO:0001545	GO:0040007
GO:0001546	GO:0001541
GO:0001546	GO:0022602
GO:0001546	GO:0040007
GO:0001546	GO:0048162
GO:0001547	GO:0001541
GO:0001547	GO:0003006
GO:0001547	GO:0022602
GO:0001547	GO:0048589
GO:0001548	GO:0001547
GO:0001548	GO:0022602
GO:0001549	GO:0001547
GO:0001549	GO:0003006
GO:0001549	GO:0022412
GO:0001549	GO:0022602
GO:0001549	GO:0030855
GO:0001549	GO:0048165
GO:0001550	GO:0001547
GO:0001550	GO:0022602
GO:0001550	GO:0040007
GO:0001550	GO:0048165
GO:0001551	GO:0001541
GO:0001551	GO:0022602
GO:0001552	GO:0003006
GO:0001552	GO:0008585
GO:0001553	GO:0008585
GO:0001553	GO:0022602
GO:0001554	GO:0008585
GO:0001554	GO:0022602
GO:0001555	GO:0003006
GO:0001555	GO:0022412
GO:0001555	GO:0048588
GO:0001555	GO:0048599
GO:0001556	GO:0003006
GO:0001556	GO:0022412
GO:0001556	GO:0048469
GO:0001556	GO:0048599
GO:0001558	GO:0040008
GO:0001558	GO:0051128
GO:0001559	GO:0016475
GO:0001559	GO:0061387
GO:0001560	GO:0001558
GO:0001560	GO:0031668
GO:0001562	GO:0051707
GO:0001563	GO:0001562
GO:0001563	GO:0098543
GO:0001568	GO:0001944
GO:0001568	GO:0044767
GO:0001568	GO:0048856
GO:0001569	GO:0001525
GO:0001569	GO:0007389
GO:0001569	GO:0048754
GO:0001570	GO:0030154
GO:0001570	GO:0048514
GO:0001578	GO:0000226
GO:0001649	GO:0001503
GO:0001649	GO:0030154
GO:0001654	GO:0007423
GO:0001655	GO:0048731
GO:0001656	GO:0001822
GO:0001657	GO:0072001
GO:0001657	GO:0072164
GO:0001659	GO:0048871
GO:0001661	GO:0007631
GO:0001661	GO:0008306
GO:0001662	GO:0002209
GO:0001662	GO:0042596
GO:0001662	GO:0044708
GO:0001666	GO:0006950
GO:0001666	GO:0036293
GO:0001667	GO:0016477
GO:0001672	GO:1902275
GO:0001675	GO:0003006
GO:0001675	GO:0007286
GO:0001675	GO:0010927
GO:0001675	GO:0022412
GO:0001675	GO:0033363
GO:0001675	GO:0070925
GO:0001675	GO:1902589
GO:0001676	GO:0006631
GO:0001677	GO:0006413
GO:0001677	GO:0022618
GO:0001678	GO:0042593
GO:0001678	GO:0055082
GO:0001692	GO:0006576
GO:0001692	GO:0052803
GO:0001692	GO:0097164
GO:0001696	GO:0022600
GO:0001696	GO:0044707
GO:0001696	GO:0046717
GO:0001697	GO:0001696
GO:0001698	GO:0001696
GO:0001699	GO:0001696
GO:0001699	GO:1905145
GO:0001700	GO:0009792
GO:0001701	GO:0043009
GO:0001702	GO:0007369
GO:0001703	GO:0007369
GO:0001704	GO:0007369
GO:0001704	GO:0044767
GO:0001704	GO:0048646
GO:0001705	GO:0001704
GO:0001705	GO:0007398
GO:0001706	GO:0001704
GO:0001706	GO:0007492
GO:0001707	GO:0001704
GO:0001707	GO:0048332
GO:0001708	GO:0045165
GO:0001708	GO:0048869
GO:0001709	GO:0045165
GO:0001709	GO:0048869
GO:0001731	GO:0006413
GO:0001731	GO:0022618
GO:0001736	GO:0001738
GO:0001736	GO:0007164
GO:0001737	GO:0001736
GO:0001737	GO:0009886
GO:0001737	GO:0035317
GO:0001738	GO:0002009
GO:0001742	GO:0030154
GO:0001743	GO:0048598
GO:0001743	GO:0060788
GO:0001744	GO:0001743
GO:0001744	GO:0001748
GO:0001745	GO:0048592
GO:0001745	GO:0048749
GO:0001748	GO:0044767
GO:0001748	GO:0048856
GO:0001751	GO:0001745
GO:0001751	GO:0001754
GO:0001754	GO:0046530
GO:0001754	GO:0048592
GO:0001755	GO:0001667
GO:0001755	GO:0014032
GO:0001756	GO:0009952
GO:0001756	GO:0035282
GO:0001756	GO:0043009
GO:0001756	GO:0048646
GO:0001756	GO:0061053
GO:0001757	GO:0001756
GO:0001757	GO:0007379
GO:0001757	GO:0009880
GO:0001759	GO:0003156
GO:0001759	GO:0031128
GO:0001759	GO:0051094
GO:0001759	GO:0051240
GO:0001763	GO:0009653
GO:0001763	GO:0044707
GO:0001763	GO:0044767
GO:0001764	GO:0016477
GO:0001764	GO:0048699
GO:0001767	GO:0030010
GO:0001767	GO:0046649
GO:0001771	GO:0009988
GO:0001771	GO:0046649
GO:0001773	GO:0002274
GO:0001774	GO:0042116
GO:0001775	GO:0044763
GO:0001776	GO:0002376
GO:0001776	GO:0048872
GO:0001777	GO:0042098
GO:0001777	GO:0042592
GO:0001777	GO:0043029
GO:0001779	GO:0030098
GO:0001779	GO:0030101
GO:0001780	GO:0001776
GO:0001780	GO:0002262
GO:0001781	GO:0001780
GO:0001781	GO:0006925
GO:0001781	GO:0033028
GO:0001781	GO:0071887
GO:0001782	GO:0002260
GO:0001783	GO:0070227
GO:0001787	GO:0030101
GO:0001787	GO:0046651
GO:0001788	GO:0001794
GO:0001788	GO:0001909
GO:0001788	GO:0044699
GO:0001794	GO:0002445
GO:0001816	GO:0044707
GO:0001817	GO:0051239
GO:0001819	GO:0001817
GO:0001819	GO:0051240
GO:0001820	GO:0006837
GO:0001820	GO:0032940
GO:0001821	GO:0046903
GO:0001821	GO:0051608
GO:0001822	GO:0044767
GO:0001822	GO:0048513
GO:0001822	GO:0072001
GO:0001823	GO:0001822
GO:0001824	GO:0001701
GO:0001824	GO:0044767
GO:0001824	GO:0048856
GO:0001825	GO:0001824
GO:0001825	GO:0044767
GO:0001825	GO:0048646
GO:0001826	GO:0001825
GO:0001826	GO:0030154
GO:0001828	GO:0000904
GO:0001828	GO:0001826
GO:0001828	GO:0048598
GO:0001829	GO:0001825
GO:0001829	GO:0030154
GO:0001831	GO:0000904
GO:0001831	GO:0001829
GO:0001831	GO:0048598
GO:0001832	GO:0001824
GO:0001832	GO:0048589
GO:0001833	GO:0001832
GO:0001833	GO:0008283
GO:0001834	GO:0001832
GO:0001834	GO:0008283
