child	parent
GO:0000006	GO:0005385
GO:0000007	GO:0005385
GO:0000064	GO:0008324
GO:0000064	GO:0015179
GO:0000095	GO:0051185
GO:0000095	GO:0072349
GO:0000095	GO:1901682
GO:0000099	GO:0015171
GO:0000099	GO:1901682
GO:0000100	GO:0000099
GO:0000100	GO:0072349
GO:0000102	GO:0005294
GO:0000102	GO:0015191
GO:0000102	GO:1901680
GO:0000227	GO:0015131
GO:0000227	GO:0015291
GO:0000269	GO:0015288
GO:0000269	GO:0019534
GO:0000295	GO:0015216
GO:0000297	GO:0008519
GO:0000297	GO:0015203
GO:0000319	GO:0015103
GO:0000319	GO:1901682
GO:0001406	GO:0008514
GO:0001406	GO:0015605
GO:0001409	GO:0015216
GO:0001761	GO:0015175
GO:0003957	GO:0015078
GO:0004008	GO:0043682
GO:0004012	GO:0005548
GO:0004129	GO:0015078
GO:0004931	GO:0005231
GO:0004931	GO:0005261
GO:0004931	GO:0035381
GO:0004970	GO:0022824
GO:0004971	GO:0004970
GO:0004971	GO:0099094
GO:0004972	GO:0004970
GO:0004972	GO:0005244
GO:0004972	GO:0099094
GO:0005049	GO:0005487
GO:0005049	GO:0008565
GO:0005216	GO:0015075
GO:0005216	GO:0022838
GO:0005217	GO:0015276
GO:0005219	GO:0015278
GO:0005220	GO:0015278
GO:0005221	GO:0005217
GO:0005221	GO:0005261
GO:0005221	GO:0043855
GO:0005222	GO:0005221
GO:0005223	GO:0005221
GO:0005225	GO:0005253
GO:0005227	GO:0005261
GO:0005227	GO:0022839
GO:0005228	GO:0005267
GO:0005228	GO:0022839
GO:0005229	GO:0022839
GO:0005229	GO:0061778
GO:0005230	GO:0015276
GO:0005231	GO:0005230
GO:0005234	GO:0005231
GO:0005237	GO:0005230
GO:0005242	GO:0005249
GO:0005242	GO:0099094
GO:0005243	GO:0022829
GO:0005244	GO:0005216
GO:0005244	GO:0022832
GO:0005245	GO:0005262
GO:0005245	GO:0022843
GO:0005247	GO:0005254
GO:0005247	GO:0008308
GO:0005248	GO:0005272
GO:0005248	GO:1905030
GO:0005249	GO:0005267
GO:0005249	GO:0022843
GO:0005250	GO:0015271
GO:0005251	GO:0005249
GO:0005252	GO:0005249
GO:0005253	GO:0005216
GO:0005253	GO:0008509
GO:0005254	GO:0005253
GO:0005254	GO:0015108
GO:0005260	GO:0005254
GO:0005260	GO:0099095
GO:0005260	GO:0099142
GO:0005261	GO:0005216
GO:0005261	GO:0008324
GO:0005262	GO:0005261
GO:0005262	GO:0015085
GO:0005267	GO:0005261
GO:0005267	GO:0015079
GO:0005272	GO:0005261
GO:0005272	GO:0015081
GO:0005274	GO:0015391
GO:0005274	GO:0015563
GO:0005274	GO:0042887
GO:0005275	GO:0022891
GO:0005276	GO:0005275
GO:0005276	GO:0015171
GO:0005276	GO:0015299
GO:0005277	GO:0005326
GO:0005277	GO:0008519
GO:0005277	GO:1901375
GO:0005278	GO:0005277
GO:0005278	GO:0015299
GO:0005280	GO:0005416
GO:0005280	GO:0015295
GO:0005283	GO:0005343
GO:0005283	GO:0005416
GO:0005287	GO:0015174
GO:0005289	GO:0005287
GO:0005289	GO:0015181
GO:0005290	GO:0008324
GO:0005290	GO:0015174
GO:0005290	GO:0015179
GO:0005290	GO:1901474
GO:0005291	GO:0005287
GO:0005291	GO:0005290
GO:0005292	GO:0005287
GO:0005292	GO:0015189
GO:0005294	GO:0015175
GO:0005294	GO:0015291
GO:0005295	GO:0005283
GO:0005295	GO:0015175
GO:0005297	GO:0005280
GO:0005297	GO:0015193
GO:0005298	GO:0005283
GO:0005298	GO:0015193
GO:0005298	GO:0015296
GO:0005300	GO:0015196
GO:0005302	GO:0008324
GO:0005302	GO:0015173
GO:0005302	GO:0015179
GO:0005304	GO:0008324
GO:0005304	GO:0015175
GO:0005304	GO:0015179
GO:0005304	GO:0015658
GO:0005307	GO:0015220
GO:0005307	GO:0015370
GO:0005308	GO:0015171
GO:0005308	GO:0051184
GO:0005308	GO:0072349
GO:0005309	GO:0005308
GO:0005309	GO:0005343
GO:0005309	GO:0015296
GO:0005310	GO:0046943
GO:0005313	GO:0005310
GO:0005313	GO:0015172
GO:0005313	GO:0015179
GO:0005314	GO:0005313
GO:0005314	GO:0015370
GO:0005315	GO:0015291
GO:0005316	GO:0005436
GO:0005316	GO:0015370
GO:0005319	GO:0022892
GO:0005324	GO:0015245
GO:0005325	GO:0005324
GO:0005325	GO:0015607
GO:0005326	GO:0005215
GO:0005328	GO:0005326
GO:0005328	GO:0015370
GO:0005329	GO:0008504
GO:0005329	GO:0008519
GO:0005329	GO:1901618
GO:0005330	GO:0005328
GO:0005330	GO:0005329
GO:0005332	GO:0005283
GO:0005332	GO:0015185
GO:0005332	GO:0015296
GO:0005333	GO:0008504
GO:0005333	GO:1901618
GO:0005334	GO:0005328
GO:0005334	GO:0005333
GO:0005335	GO:0005328
GO:0005335	GO:0015222
GO:0005337	GO:0015932
GO:0005337	GO:1901505
GO:0005338	GO:0015932
GO:0005338	GO:1901505
GO:0005340	GO:0008514
GO:0005340	GO:0015116
GO:0005340	GO:0015215
GO:0005342	GO:0022891
GO:0005343	GO:0005342
GO:0005343	GO:0015370
GO:0005344	GO:0022892
GO:0005345	GO:0015205
GO:0005346	GO:0015216
GO:0005346	GO:1901505
GO:0005347	GO:0000295
GO:0005347	GO:0005346
GO:0005347	GO:0008514
GO:0005350	GO:0015205
GO:0005351	GO:0005402
GO:0005351	GO:0015295
GO:0005352	GO:0015151
GO:0005352	GO:0015294
GO:0005353	GO:0015149
GO:0005354	GO:0015149
GO:0005355	GO:0015149
GO:0005356	GO:0005355
GO:0005356	GO:0009679
GO:0005357	GO:0005356
GO:0005358	GO:0005356
GO:0005359	GO:0005356
GO:0005360	GO:0005356
GO:0005362	GO:0005412
GO:0005363	GO:0015154
GO:0005364	GO:0005351
GO:0005364	GO:0005363
GO:0005365	GO:0015166
GO:0005366	GO:0005365
